channel_title,category_name,total_videos,avg_views,avg_engagement,total_views,percentage
1분미만,Howto & Style,1,140526.0,5.11,140526,100.0
1분빼기,Entertainment,1,229349.0,0.7,229349,100.0
1분쇼케치북,Comedy,1,588479.0,0.61,588479,100.0
1분예능모음zip,People & Blogs,2,1233128.0,1.75,2466256,100.0
1분요리왕 통키,People & Blogs,1,177017.0,6.6,177017,100.0
1분컷,People & Blogs,1,992842.0,0.73,992842,100.0
1인속보,People & Blogs,1,22929.0,2.8,22929,100.0
2 na Linha 1 no Gol,People & Blogs,1,1938778.0,5.49,1938778,100.0
20 Minutes France,News & Politics,1,198669.0,2.69,198669,100.0
2000’s Internet Fever,Gaming,3,1352950.33,5.14,4058851,100.0
205-6-1jkl,People & Blogs,1,1812379.0,2.13,1812379,100.0
24 News,News & Politics,3,198678.0,1.85,596034,100.0
24 Канал,News & Politics,2,325630.0,2.94,651260,100.0
262wave,Sports,1,114395.0,1.73,114395,100.0
27 Crew,Science & Technology,4,3857814.25,0.01,15431257,100.0
28 minutes - ARTE,News & Politics,1,34362.0,1.34,34362,100.0
2DROTS,Sports,1,133571.0,4.16,133571,100.0
2Freres2Frappes,Comedy,1,85570.0,6.3,85570,100.0
2MTV,Entertainment,1,1181475.0,1.34,1181475,100.0
2WheelChaos,Autos & Vehicles,5,3051303.4,6.5,15256517,100.0
2chアベンジャーズ,Entertainment,1,1075397.0,2.97,1075397,100.0
2ch動物園,People & Blogs,1,3743035.0,2.95,3743035,100.0
2ch感動ストーリー,People & Blogs,1,648634.0,4.61,648634,100.0
2ch爆笑おもしろスレ保管庫【ゆっくり解説2chショート】,Entertainment,1,357279.0,3.39,357279,100.0
2ch面白すぎワロタw,Entertainment,1,3388135.0,3.28,3388135,100.0
2homiedawgs,Music,1,204390.0,6.32,204390,100.0
2sies Catmemes ,Entertainment,1,95476.0,5.13,95476,100.0
2ちゃトーーーク！【2ch面白スレゆっくり解説】,Comedy,1,2112455.0,6.27,2112455,100.0
2羽と暮らすあんずちゃんねる,Pets & Animals,1,1569449.0,3.42,1569449,100.0
3 Brights,Comedy,2,1497398.0,1.23,2994796,100.0
3 Coisas Loucas,People & Blogs,1,333197.0,21.04,333197,100.0
3 Fatos Agora,People & Blogs,1,2459822.0,3.9,2459822,100.0
30m2 production,Comedy,1,557347.0,3.36,557347,100.0
30秒で少し賢くなる雑学,People & Blogs,1,1989194.0,3.06,1989194,100.0
313  DIGITAL,News & Politics,1,45597.0,3.55,45597,100.0
365 SPORT,Sports,1,443536.0,3.65,443536,100.0
3C Films,Entertainment,1,107792.0,6.9,107792,100.0
3DHumbe,Science & Technology,1,2504434.0,5.48,2504434,100.0
3dRyker,Entertainment,3,3596958.0,1.87,10790874,100.0
3sons Outdoor,Sports,1,415278.0,0.69,415278,100.0
3分シネマ,People & Blogs,1,2075264.0,2.16,2075264,100.0
3分ストーリー,People & Blogs,2,616709.5,2.59,1233419,100.0
3分要約,People & Blogs,1,206301.0,4.12,206301,100.0
4050우회전,News & Politics,1,111606.0,21.04,111606,100.0
40代ゲーマーなちょす,Gaming,1,144396.0,2.58,144396,100.0
44.4FM Records,Music,1,38275.0,0.18,38275,100.0
47Ter,Music,105,1345152.35,3.66,141240997,100.0
4AMTapes - Topic,Music,9,74507.33,1.59,670566,100.0
4Entertains,Entertainment,1,246173.0,2.04,246173,100.0
4Iroh,Film & Animation,1,248217.0,12.05,248217,100.0
4LOW Photo,Autos & Vehicles,1,374542.0,3.68,374542,100.0
4ULIST,Music,1,787908.0,1.13,787908,100.0
5 At The Back,Sports,1,508625.0,4.39,508625,100.0
5050Lockers ,Sports,2,2300667.5,1.56,4601335,100.0
55asky,People & Blogs,1,2640.0,21.04,2640,100.0
5_sprechwunsch,Science & Technology,1,192410.0,4.45,192410,100.0
5歳の美学,People & Blogs,2,1148504.5,4.18,2297009,100.0
60 Minutes,News & Politics,1,770081.0,2.76,770081,100.0
60초이내,Entertainment,1,680543.0,1.21,680543,100.0
7 канал Красноярск,News & Politics,1,178312.0,2.37,178312,100.0
70 Sekunden Wiki,Education,1,722083.0,9.42,722083,100.0
733santosleandro,People & Blogs,1,300197.0,2.07,300197,100.0
777パチガブチャンネル,Entertainment,1,502534.0,1.03,502534,100.0
7NEWS Australia,People & Blogs,1,609488.0,5.24,609488,100.0
7trange,Gaming,1,15187.0,1.01,15187,100.0
7x7 Горизонтальная Россия,News & Politics,1,106292.0,7.7,106292,100.0
8 News Now — Las Vegas,News & Politics,1,357880.0,3.07,357880,100.0
8147X Fussball,Sports,1,39189.0,6.21,39189,100.0
815머니톡,Howto & Style,1,148647.0,3.35,148647,100.0
83부부,People & Blogs,1,1313571.0,2.06,1313571,100.0
88파파,Howto & Style,1,3082033.0,1.2,3082033,100.0
8bit MAMBA,Entertainment,2,163220.0,12.2,326440,100.0
9-1-1 house,People & Blogs,3,4541516.67,3.01,13624550,100.0
92,Gaming,2,39873.5,1.78,79747,100.0
99% Sports,People & Blogs,2,959149.0,2.64,1918298,100.0
9to5Mac,Science & Technology,1,29179.0,4.87,29179,100.0
:newstime,News & Politics,1,203865.0,0.96,203865,100.0
=LOVE - Topic,Music,1,1089656.0,1.86,1089656,100.0
@Detstroy_Film,Entertainment,1,1100950.0,1.71,1100950,100.0
@Diegodichavagrau,Music,1,232830.0,1.72,232830,100.0
@JK_Sports-TahirMehmood,People & Blogs,4,1953978.5,3.2,7815914,100.0
@SceneryScape,People & Blogs,1,995343.0,3.04,995343,100.0
@hanggg7,People & Blogs,3,305306.33,2.28,915919,100.0
@jbmechanics,Autos & Vehicles,1,2575674.0,2.37,2575674,100.0
A Different Bias,News & Politics,1,37862.0,11.75,37862,100.0
A Dupla ,Sports,1,20668.0,9.08,20668,100.0
A Grande Comedia,People & Blogs,1,2012957.0,4.73,2012957,100.0
A Inteligência dos Pets,Entertainment,1,20763509.0,1.08,20763509,100.0
A LAS PIÑAS,News & Politics,1,2263774.0,5.38,2263774,100.0
A ruiva da roça / Fabio Castro,People & Blogs,1,1447541.0,3.72,1447541,100.0
A un segundo,Entertainment,1,2069024.0,0.84,2069024,100.0
A vida é uma maravilha,Education,1,5242205.0,4.34,5242205,100.0
A'zamjon Primov,People & Blogs,1,258298.0,2.1,258298,100.0
A.B.İ.,Entertainment,1,2690833.0,1.15,2690833,100.0
