channel_title,category_name,total_videos,avg_views,avg_engagement,total_views,percentage
Doreatha Dieppa,People & Blogs,1,311455.0,2.29,311455,100.0
DorkyDolphin13,Entertainment,3,5454124.33,1.33,16362373,100.0
Dorothy Lech,Autos & Vehicles,6,3666062.17,2.01,21996373,100.0
Dorothy446,People & Blogs,3,1858151.0,2.01,5574453,100.0
Dose Curiosa,People & Blogs,2,1021055.0,0.05,2042110,100.0
Dot CSV Lab ,Science & Technology,1,78330.0,4.8,78330,100.0
Dot Textos,Entertainment,1,566726.0,7.87,566726,100.0
Dota 2 Stream - Yaroslav Tekcac,Gaming,1,3093.0,1.58,3093,100.0
DotoDoya,Gaming,1,62226.0,7.22,62226,100.0
DoubleBite,People & Blogs,6,26499108.17,3.35,158994649,100.0
Doug Sharpe,Entertainment,1,933876.0,11.35,933876,100.0
DougDougDoug,Gaming,3,664724.33,4.59,1994173,100.0
Douglas Ramalho,Entertainment,1,3266305.0,5.56,3266305,100.0
Douglas Stahl,Comedy,1,146659.0,10.31,146659,100.0
Doutor Shorts,Entertainment,2,1152700.0,2.73,2305400,100.0
Doutora X,People & Blogs,1,192414.0,4.0,192414,100.0
Douzo 21,Autos & Vehicles,1,3749352.0,2.28,3749352,100.0
Dplus Kia,Gaming,2,100973.5,3.5,201947,100.0
Dr Ben Miles,Science & Technology,4,1564330.5,8.69,6257322,100.0
Dr Brayan,Education,3,1765607.67,3.57,5296823,100.0
Dr Igo,Gaming,1,625275.0,5.83,625275,100.0
Dr Pal,Education,1,834534.0,4.03,834534,100.0
Dr Shahbaz Gill,News & Politics,1,238669.0,9.71,238669,100.0
Dr. Bernd Baumann,News & Politics,1,49220.0,9.51,49220,100.0
Dr. Blame,People & Blogs,1,215582.0,3.21,215582,100.0
Dr. Couto de Novaes,News & Politics,1,32277.0,14.96,32277,100.0
Dr. Dana Figura,Education,3,3642537.67,6.89,10927613,100.0
Dr. Expert,Pets & Animals,1,988797.0,2.5,988797,100.0
Dr. G Explains,Entertainment,3,377273.67,5.34,1131821,100.0
Dr. Marcelo Suave- Advogado,News & Politics,1,82461.0,18.27,82461,100.0
Dr. Nexo,Education,3,1758230.0,3.31,5274690,100.0
Dr. Sandro Gonçalves,Entertainment,1,188393.0,16.23,188393,100.0
Dr. Skeleton,Film & Animation,1,480592.0,4.42,480592,100.0
Dr. Steve Turley,News & Politics,1,329647.0,12.8,329647,100.0
DrBurguerQuiz,Entertainment,1,2329032.0,2.4,2329032,100.0
DrDisRespect,Gaming,3,194980.33,3.22,584941,100.0
DrDonut,Gaming,5,139558.6,2.03,697793,100.0
DrDonut Clips,Gaming,2,91707.5,3.72,183415,100.0
DrPerreoVEVO,Music,17,24632.76,11.23,418757,100.0
Dragon video commentary,Film & Animation,1,629685.0,5.59,629685,100.0
Dragon Нургелды 🐉,Comedy,1,3489217.0,3.33,3489217,100.0
DrainCams,People & Blogs,5,6567148.4,6.47,32835742,100.0
Drakonite,Gaming,2,185409.0,2.56,370818,100.0
Drama de Barrio,Comedy,1,649238.0,1.32,649238,100.0
Dream couples official,People & Blogs,2,871278.0,5.19,1742556,100.0
Dreaming Monkey ,Entertainment,2,1610840.0,9.19,3221680,100.0
Dreamluxius Universe,Pets & Animals,4,1374045.75,1.63,5496183,100.0
Dreamweaver Film,Film & Animation,2,960342.0,10.46,1920684,100.0
Drewd0g,Gaming,11,48472.64,0.46,533199,100.0
Dribble07,People & Blogs,1,216493.0,0.04,216493,100.0
DriftReels,Film & Animation,4,3153411.25,5.29,12613645,100.0
Drive Thru Bukk,People & Blogs,2,255046.5,6.56,510093,100.0
DriveVerse,Autos & Vehicles,1,711610.0,7.96,711610,100.0
Driver Show,People & Blogs,3,867826.67,1.76,2603480,100.0
Driveway Finds,Autos & Vehicles,4,7123543.25,3.36,28494173,100.0
DroppN Hook,People & Blogs,1,507669.0,3.66,507669,100.0
Drunkstronauts,Comedy,3,4605556.67,4.04,13816670,100.0
Druski,Sports,1,3859539.0,2.89,3859539,100.0
DtacDtac-y5w-2,People & Blogs,1,1137450.0,1.7,1137450,100.0
DuPendrive,Entertainment,1,397181.0,0.08,397181,100.0
DualFeed Media,People & Blogs,3,5846496.33,10.09,17539489,100.0
Duc Phan,Entertainment,1,679804.0,3.87,679804,100.0
DudaBlox,Gaming,2,40578.0,2.99,81156,100.0
Dudaberud,Gaming,1,80579.0,2.15,80579,100.0
Dude Sir Gaming FMb,Gaming,1,65583.0,4.58,65583,100.0
Dudes With Trucks,Autos & Vehicles,5,813395.2,5.51,4066976,100.0
DuduDz,Entertainment,1,1170953.0,1.67,1170953,100.0
Dudufootz,Entertainment,1,2569553.0,2.64,2569553,100.0
DuelShock Files,Entertainment,4,2940114.5,4.82,11760458,100.0
Dungeon Delivery,Gaming,3,45996.33,3.8,137989,100.0
DunkTime,Sports,4,5075076.5,2.51,20300306,100.0
Dushenov,People & Blogs,1,527214.0,1.7,527214,100.0
Dylan Juega,Gaming,1,171722.0,2.58,171722,100.0
Dylan_locksmith,People & Blogs,1,1081712.0,2.76,1081712,100.0
Dylhan Fat,Music,1,110070.0,5.1,110070,100.0
Dyll,People & Blogs,1,963222.0,3.57,963222,100.0
DyonisoS,Gaming,1,9015.0,9.74,9015,100.0
DysonEdit-z4h,Film & Animation,1,3426844.0,4.68,3426844,100.0
Dzeeff,Gaming,2,66035.5,6.47,132071,100.0
E Hfs,People & Blogs,1,3592893.0,1.56,3592893,100.0
E O 07,People & Blogs,1,652643.0,8.45,652643,100.0
E Swara,Music,1,61236.0,0.32,61236,100.0
E-CarLife with 五味やすたか,Autos & Vehicles,1,233203.0,0.7,233203,100.0
E-MasterSensei,Gaming,1,223008.0,2.14,223008,100.0
E-RUN,Entertainment,1,418493.0,0.64,418493,100.0
EAGLE ESPORTS LIVE,Gaming,1,111407.0,5.62,111407,100.0
EBRU KAPLAN FARKIYLA- YALOVA PRESS,Entertainment,5,8384947.4,1.46,41924737,100.0
EBUTE LIVES,Gaming,1,798764.0,2.06,798764,100.0
ECB TV ,Sports,1,26546.0,5.72,26546,100.0
ED do Mato,People & Blogs,1,2069657.0,2.41,2069657,100.0
EDAMS19,People & Blogs,1,75302.0,3.08,75302,100.0
EDIT.,People & Blogs,1,184334.0,0.99,184334,100.0
EHF Home of Handball,Sports,1,100926.0,1.23,100926,100.0
EL MARVIN,Comedy,1,604107.0,4.12,604107,100.0
EL MEXA POLITICO,News & Politics,1,39702.0,2.98,39702,100.0
EL MÁS TIERNO,People & Blogs,1,4072113.0,1.11,4072113,100.0
EL RePortero,Sports,1,121594.0,2.58,121594,100.0
EL TIEMPO,News & Politics,1,183409.0,0.08,183409,100.0
ELECTRON motors,People & Blogs,1,487902.0,2.82,487902,100.0
ELIZA CREATIONS,Howto & Style,1,561100.0,6.08,561100,100.0
ELM officiel ,People & Blogs,1,441658.0,2.0,441658,100.0
ELON自動車,Entertainment,1,707438.0,0.89,707438,100.0
ELPOLLOXD,Entertainment,2,1613394.5,3.16,3226789,100.0
EMILLYVICKOF STORY,People & Blogs,1,418189.0,1.87,418189,100.0
EMKA,Gaming,1,5875.0,7.42,5875,100.0
EMMVEE Comedy,People & Blogs,1,679912.0,2.82,679912,100.0
EMRvolleyball,Sports,9,7220206.78,1.26,64981861,100.0
EMS Motorsport,Autos & Vehicles,1,55253.0,7.62,55253,100.0
ENFANT TERRIBLE,Gaming,2,400767.5,2.33,801535,100.0
ENG-RODRI,Science & Technology,1,1009940.0,6.23,1009940,100.0
ENGLISH CAFE,Education,1,439225.0,3.72,439225,100.0
ENHYPEN,Entertainment,1616,1032808.81,11.49,1669019036,100.0
ENHYPENVEVO,Music,3,4822857.33,3.21,14468572,100.0
ENOT FILM,People & Blogs,1,2071138.0,0.04,2071138,100.0
EPIK HIGH,Entertainment,1,1107376.0,2.97,1107376,100.0
ERIK ANALISA,People & Blogs,1,298364.0,3.16,298364,100.0
ERIN CORINEsen66,People & Blogs,2,227886.5,3.16,455773,100.0
ERO WWBC,People & Blogs,1,2320871.0,3.69,2320871,100.0
ESP.Shorox,People & Blogs,1,572184.0,13.61,572184,100.0
ESPN,Sports,2,355082.5,2.82,710165,100.0
ESPN Brasil,Sports,2,547803.5,3.57,1095607,100.0
ESPN Deportes,Sports,2,102077.0,1.1,204154,100.0
ESPN MLB,Sports,1,1500102.0,2.99,1500102,100.0
ESPN MMA,Sports,3,721028.0,7.48,2163084,100.0
ESPN MX,Sports,1,117815.0,1.22,117815,100.0
ESPNcricinfo,Sports,1,375499.0,6.7,375499,100.0
ESPOIR TRIBE-エスポワール•トライブ-,Entertainment,1,151761.0,5.28,151761,100.0
ETV Andhra Pradesh,News & Politics,1,301494.0,1.14,301494,100.0
ETV Dhee,Entertainment,1,3640549.0,6.45,3640549,100.0
ETV Jabardasth,Comedy,1,825398.0,1.91,825398,100.0
ETV Originals,Entertainment,1,872111.0,3.09,872111,100.0
EVANS THE CHAMPION,Entertainment,1,3880701.0,2.18,3880701,100.0
EVIDENCE,People & Blogs,1,140046.0,2.87,140046,100.0
EXCELSIOR,News & Politics,1,218837.0,3.92,218837,100.0
Eaosmn Qaosmn,People & Blogs,1,921377.0,2.11,921377,100.0
Earl Hamner,Pets & Animals,1,5061770.0,1.95,5061770,100.0
EarlyGame,Gaming,2,262508.5,6.9,525017,100.0
Earth Oxygen99,People & Blogs,1,1979653.0,0.01,1979653,100.0
Eastline Garage,Autos & Vehicles,2,1094723.5,0.69,2189447,100.0
EasyStretcher,Gaming,1,2870.0,8.12,2870,100.0
Eat Good Local,Entertainment,1,1980294.0,2.19,1980294,100.0
EazyGoingShorty,Entertainment,1,713416.0,3.84,713416,100.0
EazySpeezy,Comedy,19,3396.26,5.03,64529,3.78
EazySpeezy,Entertainment,2,557127.5,6.35,1114255,0.4
EazySpeezy,Gaming,481,2279656.95,3.03,1096514993,95.63
EazySpeezy,Howto & Style,1,1905.0,3.31,1905,0.2
Ebbie Stoop,People & Blogs,1,2204061.0,2.24,2204061,100.0
Echoedtis,People & Blogs,9,16588779.56,4.55,149299016,100.0
EchoingEclair-2537,Entertainment,2,357959.0,4.63,715918,100.0
Echter Niclas,Travel & Events,2,852154.5,5.47,1704309,100.0
Echtso,Entertainment,1,323818.0,3.39,323818,100.0
Ecki - News Auto ,Autos & Vehicles,1,34459.0,8.24,34459,100.0
Eco Moto,Autos & Vehicles,1,1690564.0,3.68,1690564,100.0
Ecos da Arquibancada,Sports,1,451663.0,2.14,451663,100.0
Ecrin Su Çoban,People & Blogs,2,627158.0,3.06,1254316,100.0
Eddie Hall The Beast,Entertainment,4,613953.0,8.29,2455812,100.0
Eddie Hoeweleryt,Gaming,3,41426056.0,1.02,124278168,100.0
EdenDantès,People & Blogs,3,450062.0,2.36,1350186,100.0
Ediney,People & Blogs,1,224299.0,4.48,224299,100.0
Edioxxx 😁,People & Blogs,1,570897.0,4.59,570897,100.0
EdisonPts,Gaming,501,1125836.57,4.48,564044122,100.0
Edit90,Entertainment,2,3157293.5,2.28,6314587,100.0
EditSoul ,People & Blogs,3,7379094.67,4.9,22137284,100.0
Edita,Entertainment,158,1847029.77,2.41,291830704,99.37
Edita,Music,1,26121000.0,0.31,26121000,0.63
EditzWine,Entertainment,1,2317434.0,0.0,2317434,100.0
Edouard_EMB,Gaming,1,9362.0,7.44,9362,100.0
Edu Camps,Science & Technology,1,254686.0,13.11,254686,100.0
Edu Show,People & Blogs,3,1517513.67,3.25,4552541,100.0
Eduard Matsaberidze,Comedy,1,605340.0,4.51,605340,100.0
Eduarda Girl,People & Blogs,1,4075166.0,1.17,4075166,100.0
Eduardo Duarte,Entertainment,1,688153.0,2.07,688153,100.0
Eduardo Olvera,Science & Technology,1,405356.0,2.98,405356,100.0
Eduardo Sacal,People & Blogs,1,764321.0,4.33,764321,100.0
Educadora eLimeira,News & Politics,1,65549.0,3.88,65549,100.0
Edumartins Car,Autos & Vehicles,1,894214.0,8.59,894214,100.0
Edward,Entertainment,1,1370583.0,1.72,1370583,25.0
Edward,Gaming,2,122496.0,7.88,244992,50.0
Edward,People & Blogs,1,694869.0,4.45,694869,25.0
Edwin H.,Entertainment,1,42892.0,6.58,42892,100.0
Effet quotidien,People & Blogs,1,355432.0,5.18,355432,100.0
Eicko Performance,People & Blogs,1,161326.0,10.2,161326,100.0
Eidmannews - Игорь Эйдман,Entertainment,1,55599.0,7.02,55599,100.0
Einfach Erklärt,People & Blogs,1,30219.0,5.97,30219,100.0
EinfachEmmy,Gaming,1,18046.0,5.44,18046,100.0
EinfachGustaf,Gaming,2,48248.5,8.55,96497,100.0
Eintracht SPONTENT,Sports,1,959945.0,2.24,959945,100.0
EjeCentralTV,News & Politics,2,837778.0,3.09,1675556,100.0
Ekindarcortes,Entertainment,1,1935423.0,0.13,1935423,100.0
Ekzomania,Pets & Animals,1,91280.0,13.85,91280,100.0
El ANIMATION M - CRÍTICAS,Film & Animation,1,1483388.0,6.84,1483388,100.0
El Aleshy ,People & Blogs,1,968099.0,1.4,968099,100.0
El Benja Real,People & Blogs,1,2335222.0,9.01,2335222,100.0
El Canal De Borti,Science & Technology,1,1094901.0,5.33,1094901,100.0
El Caporal,News & Politics,1,574128.0,1.32,574128,100.0
El Chapucero,News & Politics,1,118161.0,9.01,118161,100.0
El Charro Politico Mx,News & Politics,1,300572.0,5.4,300572,100.0
El Chico Estrella 🌟,Entertainment,1,6988392.0,3.48,6988392,100.0
El Chinito,Autos & Vehicles,1,5735283.0,1.46,5735283,100.0
El Chino Biker,People & Blogs,1,148766.0,4.79,148766,100.0
El Dandino,Entertainment,1,1948447.0,7.56,1948447,100.0
El Dato Curioso,People & Blogs,1,4807389.0,0.7,4807389,100.0
El Día Después por Movistar Plus+,Sports,1,644487.0,3.94,644487,100.0
El Financiero Bloomberg,News & Politics,1,48304.0,0.79,48304,100.0
El Hayat TV,Film & Animation,1,3446758.0,2.72,3446758,100.0
El Heraldo de México,News & Politics,1,409433.0,0.97,409433,100.0
El Hincha Blanquiazul - Alianza Lima,Entertainment,1,407997.0,4.37,407997,100.0
El Ing Deivis,Entertainment,2,870874.0,2.74,1741748,100.0
El Jajapeño,Pets & Animals,1,6242265.0,0.02,6242265,100.0
El Jhonnier y Soy Luz,People & Blogs,1,3101994.0,2.86,3101994,100.0
El Katto,Gaming,1,248585.0,2.53,248585,100.0
El Kroos rolo,People & Blogs,1,193774.0,2.48,193774,100.0
El Lado Oscuro,Entertainment,2,1022930.5,4.56,2045861,100.0
El Macho Alfa ,People & Blogs,1,352168.0,5.26,352168,100.0
El Mago Del Shorts,People & Blogs,1,264794.0,1.72,264794,100.0
El Manuel,People & Blogs,1,563723.0,0.58,563723,100.0
El Mundo De Boggs,People & Blogs,1,454382.0,6.18,454382,100.0
"El Popular, periodismo con causa",Music,2,417249.5,2.93,834499,100.0
El Precio de Confiar,Comedy,1,1316862.0,4.58,1316862,100.0
El Rey Del Corrido - Topic,Music,2,198450.5,2.16,396901,100.0
El Rincón Del Curioso ,Pets & Animals,1,1162267.0,2.56,1162267,100.0
El Santi PC,Science & Technology,1,554786.0,3.71,554786,100.0
El Shifu,Entertainment,1,143654.0,2.02,143654,100.0
El Sol de Puebla,News & Politics,1,253298.0,1.14,253298,100.0
El Tamalerito,People & Blogs,1,1500269.0,2.11,1500269,100.0
El Tigre y Kathy,People & Blogs,1,795546.0,4.96,795546,100.0
El Tío Néstor,Entertainment,1,481062.0,5.7,481062,100.0
El Universal,News & Politics,1,673055.0,0.08,673055,100.0
El comandante politico ,People & Blogs,2,253899.0,8.84,507798,100.0
El compita ,People & Blogs,1,548268.0,3.5,548268,100.0
El mundo de Novaxs,People & Blogs,1,134449.0,12.38,134449,100.0
El ring de WWE,Entertainment,1,4609672.0,4.0,4609672,100.0
El salva ,Gaming,1,1253403.0,5.59,1253403,100.0
El solitario,People & Blogs,2,171610.5,4.02,343221,100.0
El sosa y su estilo chacaloso,Music,1,53574.0,1.01,53574,100.0
El tuno& norteño ,People & Blogs,1,1132400.0,3.56,1132400,100.0
El Último Plan,People & Blogs,1,1762406.0,4.26,1762406,100.0
ElAbrahaham,Entertainment,227,922423.06,3.14,209390034,45.4
ElAbrahaham,Gaming,273,2286622.48,2.8,624247937,54.6
ElBesosVW,People & Blogs,1,3291840.0,3.78,3291840,100.0
ElChavitoDeLaVecindad,Entertainment,1,1042362.0,3.34,1042362,100.0
ElFeiz,People & Blogs,1,378564.0,1.21,378564,100.0
ElMaestrodeLaObra,Pets & Animals,1,1055824.0,1.78,1055824,100.0
ElMariana Gaming,Autos & Vehicles,1,3682617.0,7.81,3682617,0.2
ElMariana Gaming,Comedy,31,1203035.81,6.87,37294110,6.2
ElMariana Gaming,Entertainment,74,1847292.45,5.57,136699641,14.8
ElMariana Gaming,Gaming,387,1689040.83,4.2,653658800,77.4
ElMariana Gaming,Sports,1,768621.0,13.14,768621,0.2
ElMariana Gaming,Travel & Events,6,1962798.33,4.6,11776790,1.2
ElMariana VOD,Gaming,1,20854.0,2.63,20854,100.0
Elanip,Gaming,4,148522.75,2.22,594091,100.0
Elara87MH,Entertainment,1,299714.0,1.63,299714,100.0
Elburritomonster,Gaming,1,371436.0,2.82,371436,100.0
Elchiki - Clash Of Clans,Gaming,1,45504.0,5.48,45504,100.0
Electric Revolution,Science & Technology,8,4103096.62,3.96,32824773,100.0
EleganteFF,Entertainment,1,10010522.0,1.8,10010522,100.0
Elektrotrucker,Autos & Vehicles,1,110735.0,2.46,110735,100.0
Elena & Vittorio ,Comedy,1,2039294.0,1.9,2039294,100.0
Elena Iuldasheva,People & Blogs,1,37180.0,11.23,37180,100.0
Elena Nagapetyan,Comedy,1,169370.0,2.06,169370,100.0
Elepablo,Entertainment,1,26904.0,3.19,26904,100.0
Elevate-Edits,Film & Animation,3,1851728.67,0.04,5555186,100.0
Elhiwar Ettounsi,Entertainment,1,1251390.0,1.61,1251390,100.0
Eli & Elô,People & Blogs,1,455671.0,1.4,455671,100.0
EliasN97 Gaming,Gaming,1,66821.0,2.59,66821,100.0
EliasN97 Uncut,Entertainment,1,3055.0,5.73,3055,100.0
EliasVFishing,Sports,3,5467961.67,6.17,16403885,100.0
Elie Magic,Entertainment,1,9341839.0,3.49,9341839,100.0
ElilobosMortal ヅ,Gaming,1,25936.0,11.05,25936,100.0
Eline ,People & Blogs,1,234706.0,4.16,234706,100.0
Eliot Channel Mx,Entertainment,1,485623.0,6.11,485623,100.0
Eliot Lehanneur,People & Blogs,1,173773.0,7.9,173773,100.0
Eliott & Lilian 2.0,Entertainment,1,74490.0,2.01,74490,100.0
Elise Ecklund,Music,4,2923589.0,5.87,11694356,100.0
Eliseo Cervantes,People & Blogs,1,1942927.0,1.54,1942927,100.0
Elizabeth T Brewer,People & Blogs,1,3176450.0,1.85,3176450,100.0
Ella Australia TV,Travel & Events,2,74795.5,7.72,149591,100.0
Ella Boyle,Entertainment,1,645987.0,2.7,645987,100.0
EllaLangleyVEVO,Music,1,1930294.0,2.08,1930294,100.0
Elle Swift,People & Blogs,1,62926.0,2.53,62926,100.0
Elnaz Hamai,People & Blogs,4,2350560.5,2.19,9402242,100.0
Elsa Rhae & Barron,People & Blogs,2,21305.5,17.65,42611,100.0
Elsbe Bartl,People & Blogs,3,3323615.0,5.95,9970845,100.0
ElsenHuseynov,People & Blogs,1,1506403.0,1.55,1506403,100.0
Elsie and Avan ,People & Blogs,2,1198895.0,0.75,2397790,100.0
Eláyne Oliveira,People & Blogs,1,20277.0,10.59,20277,100.0
EmSwizzle,Gaming,4,1127708.5,4.18,4510834,100.0
Embekay,Gaming,1,17017.0,3.28,17017,100.0
EmeliaHartford,Autos & Vehicles,1,338687.0,7.49,338687,100.0
Emergency Awesome,Entertainment,1500,331057.4,2.67,496586095,100.0
Emerson,Entertainment,1,998467.0,3.12,998467,100.0
Emiirbayrak,People & Blogs,3,1166150.0,5.35,3498450,100.0
EmilieyEstephany,People & Blogs,1,1139786.0,4.01,1139786,100.0
Emilly Vick,Science & Technology,3,5774302.33,2.48,17322907,100.0
Emilly Vick Central,People & Blogs,1,960783.0,4.76,960783,100.0
Emily,Gaming,1,24509.0,3.89,24509,100.0
Emily <3,Film & Animation,1,511570.0,11.09,511570,100.0
Emily Canham,People & Blogs,1,23174.0,3.81,23174,100.0
Emily G ,Sports,1,750881.0,3.95,750881,100.0
Emilywandert,People & Blogs,1,196530.0,0.98,196530,100.0
Emin.proreels,People & Blogs,1,617332.0,3.06,617332,100.0
EmirhanCTN Roblox,Gaming,1,70354.0,4.9,70354,100.0
Emma1,Entertainment,1,828616.0,2.63,828616,100.0
En3rgie5,Gaming,1,24211.0,8.41,24211,100.0
Enaku Romba Pasikuthu,People & Blogs,1,829907.0,2.69,829907,100.0
Enaldinho,Entertainment,1,2615208.0,1.72,2615208,100.0
EncounterVB,People & Blogs,5,6022975.8,7.76,30114879,100.0
Endless Love,Music,12,4669947.58,3.31,56039371,100.0
Energiapersonal,Entertainment,3,839175.67,12.68,2517527,100.0
Engatando Cortes,Autos & Vehicles,1,406711.0,7.08,406711,100.0
Engenharia Detalhada,Education,1,94713.0,10.4,94713,100.0
Engenheiro Leo,People & Blogs,1,161410.0,15.8,161410,100.0
Engineering Facts,Science & Technology,1,798853.0,4.98,798853,100.0
England & Wales Cricket Board,Sports,1,568337.0,3.65,568337,100.0
English Universe Labz,Entertainment,3,5001753.0,3.99,15005259,100.0
Enma Tolosa,People & Blogs,2,75847.0,6.05,151694,100.0
Enquête Choc,People & Blogs,1,30292.0,1.28,30292,100.0
Entre Curules,People & Blogs,2,976702.5,1.14,1953405,100.0
Entre llantas y motores ,Entertainment,1,63766.0,4.58,63766,100.0
Entre nos,Entertainment,1,742700.0,2.41,742700,100.0
Entre Óxidos,People & Blogs,1,288571.0,2.79,288571,100.0
Entrevistas MeganoticiasMX,News & Politics,1,73485.0,2.5,73485,100.0
Enver Güçlü,Entertainment,1,1265328.0,5.79,1265328,100.0
Enzo Rossi,Entertainment,1,303591.0,3.17,303591,100.0
Epic Toon,Entertainment,1,1139031.0,5.78,1139031,100.0
EpicCorto,People & Blogs,1,855420.0,1.39,855420,100.0
EpicFraee,Sports,3,4834338.67,6.03,14503016,100.0
Epiclore ,People & Blogs,1,475205.0,1.91,475205,100.0
Equipo Dinamita ,Entertainment,1,850462.0,1.08,850462,100.0
ErDoZz,Autos & Vehicles,1,35750.0,2.05,35750,100.0
ErDoZz Shorts,Autos & Vehicles,1,68637.0,1.42,68637,100.0
Erfolg Box,People & Blogs,2,266083.5,3.54,532167,100.0
EriVlt (Eri La Nutria),Film & Animation,1,205675.0,6.07,205675,100.0
Eric Coquerel,News & Politics,1,65281.0,7.36,65281,100.0
Eric Sim,Sports,2,2156536.0,5.07,4313072,100.0
Eric Tro,Entertainment,2,2858505.0,5.14,5717010,100.0
Eric Zhang,Gaming,6,2033737.5,6.76,12202425,100.0
EricVanWilderman,Gaming,1,64458.0,5.17,64458,100.0
Erik Shorts,Entertainment,4,5455450.5,4.1,21821802,100.0
Erika en Japón,People & Blogs,1,32009.0,6.83,32009,100.0
Ernest Ogannesyan,Entertainment,45,4101105.47,3.01,184549746,33.83
Ernest Ogannesyan,Music,87,4115305.76,2.77,358031601,65.41
Ernest Ogannesyan,People & Blogs,1,185985.0,0.88,185985,0.75
Erol,Entertainment,4,4014475.75,3.86,16057903,100.0
EroxBlox,Gaming,306,914902.32,1.96,279960111,100.0
Erro504,People & Blogs,1,121652.0,6.47,121652,100.0
Esando Tech ,Science & Technology,1,106402.0,5.31,106402,100.0
Escanteados Fc,People & Blogs,1,500701.0,3.2,500701,100.0
Escola Instructiva ,Education,1,22172.0,16.56,22172,100.0
EscolhaSegura,Science & Technology,1,56183.0,8.47,56183,100.0
Eskelletox,People & Blogs,1,1090534.0,8.95,1090534,100.0
Esmeralda,Comedy,2,777219.0,4.5,1554438,100.0
Español Universo Labz,Entertainment,2,2178195.5,5.94,4356391,100.0
Esperanza Animal,Pets & Animals,1,1457911.0,1.3,1457911,100.0
Espeto,Entertainment,1,478988.0,8.4,478988,100.0
Espongi 🧽,Entertainment,2,549604.5,3.38,1099209,100.0
Esporte Na Cultura,Sports,1,975902.0,1.16,975902,100.0
Esprit Dog,Pets & Animals,1,242505.0,5.23,242505,100.0
Espèce d’IA,Entertainment,1,61516.0,2.91,61516,100.0
Estrella Biker - Soy un PavoRanger,People & Blogs,1,598272.0,2.12,598272,100.0
Eternal ILY,People & Blogs,1,482458.0,0.18,482458,100.0
Ethan Overton,Music,1,23844.0,2.55,23844,100.0
Ethan Steele,People & Blogs,1,372156.0,6.94,372156,100.0
Ethereal852,Entertainment,1,1462093.0,1.56,1462093,100.0
Etoiles,Gaming,1,45717.0,5.05,45717,100.0
Eu Joguei - Cross,Gaming,1,81781.0,12.5,81781,100.0
Eu sou Barone #Shorts,Entertainment,1,438609.0,5.16,438609,100.0
Eu você e nós,Entertainment,2,457718.5,3.39,915437,100.0
"Eu, Ele e Mamãe",Education,1,731777.0,1.05,731777,100.0
EuSouAsadov,Entertainment,1,1902608.0,3.39,1902608,100.0
Eugene Thomason,People & Blogs,1,923378.0,2.87,923378,100.0
Euphoric.,Music,1,2037143.0,0.17,2037143,100.0
Eure Videos Fahrnünftig,Autos & Vehicles,1,247035.0,8.17,247035,100.0
EuroStepin,Sports,1,724739.0,6.35,724739,100.0
Europe 1,News & Politics,1,137685.0,2.49,137685,100.0
Eurosport Deutschland,Sports,3,1056146.0,2.08,3168438,100.0
Eurosport France,Sports,1,712117.0,1.57,712117,100.0
Eva96MH,Entertainment,1,669578.0,3.03,669578,100.0
Evan Bodycomb,Gaming,1,1332783.0,6.72,1332783,100.0
Evangelina Steed,People & Blogs,1,1220236.0,1.31,1220236,100.0
Evelyn,People & Blogs,1,406135.0,4.28,406135,100.0
Evelyn Bella6868,Entertainment,2,216592.5,5.28,433185,100.0
Eventide Audio,Music,4,427805.25,3.7,1711221,100.0
Eventuz,News & Politics,1,250422.0,3.92,250422,100.0
Everyday Puppy Chaos,Pets & Animals,4,3152093.0,0.82,12608372,100.0
EverythingRanked,Entertainment,3,2281290.67,5.21,6843872,100.0
Everywhere Nowhere,Gaming,6,2308629.17,5.97,13851775,100.0
Evian,Gaming,1,19535.0,4.94,19535,100.0
EvoNeon FIFA,Gaming,1,56873.0,15.94,56873,100.0
Ewiger Ruf,People & Blogs,1,786747.0,1.24,786747,100.0
ExileShow,Entertainment,2,5716891.5,3.99,11433783,100.0
ExoGhost,Gaming,1,33140.0,6.9,33140,100.0
Exotic Rubber,Autos & Vehicles,6,1978259.0,4.01,11869554,100.0
Expansión,News & Politics,1,277539.0,3.18,277539,100.0
Experiencia IA,Entertainment,1,454722.0,2.24,454722,100.0
ExpertИза MMA,Sports,1,334968.0,3.75,334968,100.0
Explicaciones Virales 🤯,Entertainment,1,1600224.0,6.55,1600224,100.0
Explicado em Detalhes,Entertainment,1,324393.0,3.46,324393,100.0
Explofactos,Entertainment,1,3906975.0,4.44,3906975,100.0
Explora Mundo,People & Blogs,1,116168.0,5.65,116168,100.0
Explore Media,Education,2,1011094.5,6.3,2022189,100.0
Expressions Oozing,Sports,1,320174.0,5.1,320174,100.0
Eze Martínez,Education,1,173742.0,13.09,173742,100.0
Eziio,Sports,2,292040.5,0.01,584081,100.0
F1 Inside Line,Autos & Vehicles,2,5738971.0,3.02,11477942,100.0
F1 News - TacticalRab,Sports,1,69044.0,3.54,69044,100.0
F1 addict ,Autos & Vehicles,1,85639.0,0.07,85639,100.0
F1-insider.com,Sports,1,201325.0,2.34,201325,100.0
FACU,People & Blogs,1,3406233.0,1.59,3406233,100.0
FALEN,People & Blogs,2,7669494.0,1.16,15338988,100.0
FAMA E SEGREDOS ,People & Blogs,1,513793.0,0.09,513793,100.0
