category_name,channel_title,total_videos,avg_views,avg_engagement,total_views,countries_count
Nonprofits & Activism,Siddiqur Rahman,1,205158.0,0.32,205158,1
Nonprofits & Activism,Mundo Di,1,182755.0,5.53,182755,1
Nonprofits & Activism,Дмитрий ПОТАПЕНКО,1,76237.0,3.76,76237,1
Nonprofits & Activism,БУДІВНИК & строитель,1,68053.0,0.43,68053,1
Nonprofits & Activism,Camia TV,1,67528.0,4.97,67528,1
Nonprofits & Activism,Общество Защиты Интернета,1,50105.0,5.53,50105,1
Nonprofits & Activism,Officialinnossb,1,14903.0,1.36,14903,1
People & Blogs,Gorillaz,5,205422956.4,1.02,1027114782,5
People & Blogs,惬意人生,10,61071286.2,1.57,610712862,10
People & Blogs,Devrim Sobay,9,52337862.0,1.05,471040758,9
People & Blogs,RandomDude,12,30520393.83,2.38,366244726,9
People & Blogs,PetWitnessYT,7,49706503.86,3.26,347945527,7
People & Blogs,감스트GAMST,291,1171693.31,1.51,340962754,1
People & Blogs,jyoti kumari official,4,73712082.0,1.02,294848328,4
People & Blogs,CCTVCapture,8,35241993.0,0.55,281935944,8
People & Blogs,Arhaan Ki Masti,2,103208354.5,1.29,206416709,2
People & Blogs,DiaryRanks,5,38435752.6,2.97,192178763,5
People & Blogs,nokuthula nkuna,6,30394204.33,2.37,182365226,6
People & Blogs,Queen gravity ,4,45158854.0,0.89,180635416,4
People & Blogs,CrimeTubeGlobal,16,10893356.5,3.44,174293704,8
People & Blogs,Throw mini,9,18715641.56,0.83,168440774,9
People & Blogs,mateo paredes,4,41754420.25,0.89,167017681,4
People & Blogs,King Son,500,326857.32,0.73,163428662,1
People & Blogs,DoubleBite,6,26499108.17,3.35,158994649,6
People & Blogs,Stokes Twins,7,22690418.86,2.09,158832932,6
People & Blogs,TJR,1501,100042.54,4.29,150163855,4
People & Blogs,Echoedtis,9,16588779.56,4.55,149299016,5
Pets & Animals,Creature Chronicle,10,56275335.7,0.0,562753357,10
Pets & Animals,Soft Souls,9,29335621.67,2.88,264020595,9
Pets & Animals,We Love Animals,8,27174376.88,2.87,217395015,8
Pets & Animals,Kitem AI Dogs Oficial,6,11385917.0,1.07,68315502,4
Pets & Animals,WildRanks,6,8575489.0,0.0,51452934,6
Pets & Animals,Sam With Paw,5,10014613.6,0.0,50073068,5
Pets & Animals,AnimalsSaver ,3,14970020.33,2.67,44910061,3
Pets & Animals,Betch,5,7101756.8,5.96,35508784,5
Pets & Animals,Wolqun,3,9778309.0,4.26,29334927,3
Pets & Animals,FunnyCatTv 10,3,9738386.33,6.35,29215159,3
Pets & Animals,WildTruths,2,14318414.0,5.11,28636828,2
Pets & Animals,Paws & Giggles,3,8713259.0,2.47,26139777,3
Pets & Animals,Pins Guy,4,6445942.0,7.1,25783768,4
Pets & Animals,MEOWLO,8,2846586.5,2.32,22772692,8
Pets & Animals,Bibib Family,2,11108276.0,1.08,22216552,2
Pets & Animals,UL Cats,7,2517720.57,4.1,17624044,7
Pets & Animals,Daily Mail Cute,5,3137626.8,4.08,15688134,5
Pets & Animals,Liam's Stories,4,3411774.75,4.06,13647099,4
Pets & Animals,Everyday Puppy Chaos,4,3152093.0,0.82,12608372,4
Pets & Animals,ZOʻR KAYFIYAT TV,1,10782946.0,2.13,10782946,1
Science & Technology,Mark Rober,4,24643470.25,2.45,98573881,4
Science & Technology,mryeester,10,9547126.2,6.08,95471262,10
Science & Technology,Shot4Head,8,10361849.62,0.02,82894797,8
Science & Technology,MaviGadget,8,10173096.0,1.08,81384768,8
Science & Technology,Samsung,10,6290098.1,0.0,62900981,10
Science & Technology,My Nghe Thanh Dung,5,7991518.0,0.89,39957590,5
Science & Technology,Noam Aizenberg,7,5358245.43,6.44,37507718,7
Science & Technology,Gadget Icon,3,11990687.0,2.97,35972061,3
Science & Technology,Mrwhosetheboss,10,3389508.6,5.28,33895086,10
Science & Technology,Electric Revolution,8,4103096.62,3.96,32824773,8
Science & Technology,Marques Brownlee,11,2076166.82,9.18,22837835,11
Science & Technology,Max Adams,3,6867240.67,5.61,20601722,3
Science & Technology,Caylee Penderass,5,3978453.6,4.71,19892268,5
Science & Technology,Hardware Nf,7,2479243.29,3.37,17354703,7
Science & Technology,Emilly Vick,3,5774302.33,2.48,17322907,1
Science & Technology,ПереверниМозг,2,7848017.5,1.85,15696035,2
Science & Technology,Разбор по кадрам,7,2231136.43,1.81,15617955,2
Science & Technology,Custom Adventurist,4,3862610.5,1.75,15450442,4
Science & Technology,27 Crew,4,3857814.25,0.01,15431257,4
Science & Technology,Salem Techsperts,7,1928839.71,9.09,13501878,7
Sports,TremiX_Tim,8,58444253.88,2.24,467554031,8
Sports,แฟนตะกร้อ,10,44174007.5,1.74,441740075,10
Sports,MMG,501,446505.02,3.54,223699014,2
Sports,Juan Hoop,10,15959848.4,3.73,159598484,10
Sports,감스트GAMST,144,927041.38,1.55,133493959,1
Sports,Olympics,10,8979131.5,3.38,89791315,7
Sports,Celine Dept,9,8948263.22,3.11,80534369,9
Sports,KuRa Arena,3,23037419.0,1.41,69112257,3
Sports,Simonbrezi ,3,21910903.0,3.56,65732709,3
Sports,EMRvolleyball,9,7220206.78,1.26,64981861,9
Sports,Ian Gunther,6,7586838.83,4.17,45521033,6
Sports,Ninety,4,11379616.25,2.21,45518465,4
Sports,Futcrunch,5,8776075.6,3.63,43880378,5
Sports,Reaper Highlights,5,8565465.2,4.39,42827326,5
Sports,FutbolEssence,5,8317588.0,2.92,41587940,5
Sports,GeoFootball,4,7216546.5,1.26,28866186,4
Sports,Sportcake,3,8700158.67,7.12,26100476,3
Sports,Fla Total,4,5631928.5,1.16,22527714,4
Sports,Whistle,4,5262957.75,4.33,21051831,4
Sports,DunkTime,4,5075076.5,2.51,20300306,4
Travel & Events,Zack D. Films,24,6936744.83,8.6,166481876,9
Travel & Events,Niki Kuznetsov,4,19003710.25,1.21,76014841,4
Travel & Events,David Orin,4,5095327.5,3.33,20381310,4
Travel & Events,Khalid Al Ameri,1,15951794.0,4.84,15951794,1
Travel & Events,Damon Geis,2,7748350.0,2.69,15496700,2
Travel & Events,Seal On Tour,4,3289860.5,5.2,13159442,4
Travel & Events,JAMAICA REACTION TV ,3,4320372.33,3.26,12961117,3
Travel & Events,ElMariana Gaming,6,1962798.33,4.6,11776790,1
Travel & Events,Camperghini Vlogs,4,2568713.0,4.1,10274852,4
Travel & Events,Hullsome,2,5117683.5,4.33,10235367,2
Travel & Events,Megan and Ben,6,1306070.83,6.9,7836425,3
Travel & Events,DinomiteTwins IRL,3,2076738.67,3.92,6230216,3
Travel & Events,Molly Carlson,3,1668076.33,4.83,5004229,3
Travel & Events,Sike_detailing,2,1861816.0,3.76,3723632,2
Travel & Events,Patineuse à bord,2,1402100.5,4.49,2804201,1
Travel & Events,Yash & Nilam,1,2511183.0,1.65,2511183,1
Travel & Events,КОМЕТА,1,2399697.0,0.72,2399697,1
Travel & Events,Алина Звездилина ,1,1872645.0,1.85,1872645,1
Travel & Events,언택트립,1,1709784.0,1.55,1709784,1
Travel & Events,Echter Niclas,2,852154.5,5.47,1704309,1
